"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-LOC142973531",919.589638681187,2.06032893475884,0.319094776545308,2.17853886599011e-11,1.21927901048156e-09,"up"
"gene-Grx5",682.335279122261,2.90080020112559,0.455993142286703,2.28373161237668e-11,1.2713179724514e-09,"up"
"gene-LOC142987189",1795.67100979788,3.31234937992543,0.523808073158689,2.43467089138481e-11,1.34813425421893e-09,"up"
"gene-RpL38",10046.9490534036,2.71684906441327,0.427143419461979,2.46458292297589e-11,1.35747662582958e-09,"up"
"gene-LOC142976055",1186.85317289841,2.17050571846474,0.33805697056695,2.50054636407592e-11,1.37003619210686e-09,"up"
"gene-LOC142973584",647.99029575121,2.41305985677237,0.377750777640443,2.52735212879751e-11,1.37747307124514e-09,"up"
"gene-Utx",192.26042918293,-3.59549048064553,0.569818261606493,2.55902256569352e-11,1.38747004733695e-09,"down"
"gene-AP-1-2beta",602.551941652465,-2.26859715606474,0.354927430623396,2.63593200199437e-11,1.42176435962494e-09,"down"
"gene-betaCOP",518.634055672997,-2.75323306412691,0.435457000035176,2.99632125215749e-11,1.60781980592575e-09,"down"
"gene-RpL9",37862.9983158276,2.43451815896977,0.382809512404286,3.08828123875356e-11,1.64866706130382e-09,"up"
"gene-rin",1226.35275601788,-4.36456181378222,0.700480392678194,3.16892188052337e-11,1.6804712336034e-09,"down"
"gene-fh",463.513477797605,3.04486348501196,0.483443834137446,3.18014248818318e-11,1.6804712336034e-09,"up"
"gene-kek5",366.123859154264,-3.57925218153234,0.571662831419414,3.38157874724533e-11,1.77789064438505e-09,"down"
"gene-Cnot4",933.061818660432,-2.25001313875639,0.355234288301572,3.70980242551419e-11,1.94065543967853e-09,"down"
"gene-LOC142976191",9427.37982065669,2.63147516781729,0.417673951033666,3.85089660538754e-11,2.00439168310421e-09,"up"
"gene-Nacalpha",5727.95131482673,1.69157594979101,0.264035549467086,3.9919624881309e-11,2.06747907967377e-09,"up"
"gene-LOC142978392",5433.66504759017,2.47730998065416,0.393263056478638,4.05368770427247e-11,2.08905391096418e-09,"up"
"gene-LOC142972233",143.774134200389,-4.23442837506035,0.684782874587781,4.23383515746193e-11,2.1711440388758e-09,"down"
"gene-LOC142987685",1285.9344548156,3.16716966185748,0.507417177901566,4.34239078012881e-11,2.21589647162456e-09,"up"
"gene-Pfdn5",1257.8792918453,2.58504885114415,0.411624074341652,4.58358014458556e-11,2.32756435634808e-09,"up"
"gene-Archease",2914.52084117179,3.13812516421484,0.50335566155543,4.64549732636393e-11,2.34755471686643e-09,"up"
"gene-Frl",697.681821943151,-4.99451758519914,0.815394377299738,4.85290489784379e-11,2.41643064562106e-09,"down"
"gene-LOC142977241",1351.40258753703,4.51953831971873,0.733322525676374,4.87464395370242e-11,2.41643064562106e-09,"up"
"gene-Npl4",545.653018749746,-3.80178194482528,0.615702888771952,4.85597387540272e-11,2.41643064562106e-09,"down"
"gene-Sec16",661.117299353411,-2.84095848565252,0.454948098986661,4.83297842587844e-11,2.41643064562106e-09,"down"
"gene-Saysd1",822.948624022036,2.10069953695044,0.332192271309296,4.98082625894382e-11,2.45736499315664e-09,"up"
"gene-mRpL40",735.564204830016,2.61811339941112,0.42134550731636,5.67202693836946e-11,2.7851792654918e-09,"up"
"gene-NAT1",5822.25706743609,-5.39974347200637,0.887374084825195,6.03811772935642e-11,2.93723390479441e-09,"down"
"gene-AP-1gamma",1991.90969709684,-3.02430603815919,0.486888057321039,6.03372962231772e-11,2.93723390479441e-09,"down"
"gene-FDL",107.238824401047,-3.03537843302452,0.491527677683615,6.18453301362052e-11,2.99446458938556e-09,"down"
"gene-CLIP-190",710.048609016126,-4.21937908191152,0.689166977184692,6.27298859569648e-11,3.02323200375928e-09,"down"
"gene-Dap160",237.363688354267,-2.68909794290696,0.434918466024611,6.8343545668285e-11,3.27860050878731e-09,"down"
"gene-LOC142973811",471.432498992828,4.88559288486398,0.802654182447486,7.13558824616576e-11,3.40740704782503e-09,"up"
"gene-LOC142978836",550.424988925119,2.10325856377817,0.336085069421994,7.4507512583941e-11,3.54165847488048e-09,"up"
"gene-TER94",6403.11703265759,-2.90427370267992,0.471215932684463,7.60284617709434e-11,3.59752857743418e-09,"down"
"gene-LOC142987853",162.394062491327,3.63326485159547,0.594786698261439,8.09915415877504e-11,3.81503143859041e-09,"up"
"gene-LOC142974031",206.855005200965,1.99329124223683,0.318782182583576,8.30071499586907e-11,3.89236230211698e-09,"up"
"gene-tej",82.1440778118115,-3.93322738718649,0.651477383913422,8.55838086101188e-11,3.99519034812259e-09,"down"
"gene-Prp8",1183.57585891812,-2.5237115295227,0.408284527499796,8.78325045438043e-11,4.08185880491519e-09,"down"
"gene-LOC142976622",517.655260459574,-3.08373028851029,0.503869896940342,8.92563563730258e-11,4.12959408819199e-09,"down"
"gene-sud1",59.9582001660107,-4.73187602497394,0.77202854166332,9.17764113209968e-11,4.21591862118171e-09,"down"
"gene-sdt",779.008137880919,-1.96449778221921,0.315046230701465,9.19321351592937e-11,4.21591862118171e-09,"down"
"gene-eIF3a",1302.2084354142,-3.06294647916791,0.498964657229766,9.38945080288479e-11,4.27958168528114e-09,"down"
"gene-LOC142984096",1911.59999975493,1.73594247552918,0.276731380054488,9.41425750172317e-11,4.27958168528114e-09,"up"
"gene-eIF3g1",3482.79862200369,1.19656116579181,0.187770554612684,9.72464744908159e-11,4.40145999760606e-09,"up"
