	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-B4	37	67	313	27	277	52	35	13	12	11	16	5	367
gene-B52	1365	821	1349	1768	632	886	500	289	531	431	485	356	3075
gene-B9d1	0	3	12	7	0	28	12	8	11	0	3	5	10
gene-babo	764	953	828	755	803	467	457	222	275	514	475	449	697
gene-Bacc	2991	1760	3753	3738	2311	2963	1682	1156	1810	1645	2091	2147	11505
gene-BAEE	105	42	101	24	81	1078	4	9	18	0	24	0	2471
gene-baf	1298	1369	1603	1147	1009	484	4493	3002	6509	1923	3998	6322	864
gene-bai	2345	1046	876	3157	909	2177	5131	2676	7437	4442	7976	6227	6536
gene-Baldspot	1210	524	737	1098	240	2835	589	276	409	1048	1128	913	1068
gene-ball	195	110	272	264	79	65	226	68	102	160	88	65	155
gene-Bap111	891	366	815	811	392	356	253	119	132	111	92	131	2190
gene-Bap170	107	38	124	75	110	18	22	5	14	18	18	31	251
gene-Bap55	218	103	172	211	149	93	134	103	175	105	88	151	501
gene-Bap60	2120	1604	1809	2124	1951	723	173	97	79	57	50	135	3083
gene-barc	1006	587	1236	1293	713	746	751	472	872	861	1510	1449	277
gene-bark	791	1913	3397	2347	1293	401	165	81	98	141	150	124	1220
gene-barr	79	46	120	42	26	36	37	29	59	39	46	75	127
gene-baz	564	872	789	770	312	214	144	129	97	156	148	158	679
gene-bbc	56	28	74	169	45	221	57	20	75	69	115	55	334
gene-bbg	18	62	636	1	146	125	29	19	12	4	2	19	1454
gene-BBS1	43	34	66	49	53	46	49	76	132	55	38	26	164
gene-BBS5	3	4	7	3	0	0	0	2	3	2	0	5	0
gene-BBS8	0	0	0	0	9	0	0	0	0	0	0	0	1
gene-BBS9	13	21	111	18	157	51	0	0	2	4	2	16	51
gene-bbx	1511	1562	3245	859	1372	479	530	192	142	228	333	393	358
gene-bc10	667	369	300	412	246	198	1787	1691	4222	1777	1762	1758	797
gene-BCAS2	366	292	531	315	504	153	422	263	467	284	297	336	416
gene-Bcat	3675	1285	220	4822	168	418	1720	1593	1620	2256	1834	1335	1198
gene-bchs	325	125	308	178	301	167	24	25	19	61	53	32	432
gene-BckdhA	4407	508	263	2108	304	2002	2645	836	5918	2916	7390	3344	756
gene-BckdhB	782	273	243	987	144	458	625	277	1186	362	1069	607	432
gene-BCL7-like	144	66	74	181	84	107	219	92	251	206	319	335	293
gene-bcn92	197	129	93	347	83	191	578	316	669	455	1013	593	128
gene-Bcp	67137	94524	168236	53666	82458	2881	23323	20430	6974	5806	1831	3902	44380
gene-Bcs1	164	91	137	329	62	159	303	199	599	299	685	551	177
gene-bdg	163	61	93	147	40	110	89	28	36	62	64	81	657
